   0.1000000E+00  0.5780784E-16  0.3525434E-02
   0.1040000E+00 -0.1086081E-15  0.3658547E-02
   0.1080000E+00 -0.6389340E-16  0.3790725E-02
   0.1120000E+00  0.8322133E-15  0.3921933E-02
   0.1160000E+00 -0.7896918E-16  0.4052134E-02
   0.1200000E+00  0.5550529E-16  0.4181290E-02
   0.1240000E+00  0.2238044E-15  0.4309366E-02
   0.1280000E+00 -0.9700104E-16  0.4436324E-02
   0.1320000E+00 -0.4874754E-16  0.4562127E-02
   0.1360000E+00  0.1110215E-15  0.4686737E-02
   0.1400000E+00  0.3124476E-15  0.4810118E-02
   0.1440000E+00 -0.9990021E-16  0.4932232E-02
   0.1480000E+00  0.5617807E-16  0.5053042E-02
   0.1520000E+00 -0.2775679E-16  0.5172510E-02
   0.1560000E+00 -0.5640925E-15  0.5290597E-02
   0.1600000E+00  0.3286418E-15  0.5407267E-02
   0.1640000E+00 -0.6720966E-16  0.5522482E-02
   0.1680000E+00  0.1548431E-15  0.5636203E-02
   0.1720000E+00  0.8643197E-16  0.5748391E-02
   0.1760000E+00  0.4975101E-15  0.5859010E-02
   0.1800000E+00 -0.1123136E-15  0.5968020E-02
   0.1840000E+00 -0.1109736E-15  0.6075382E-02
   0.1880000E+00 -0.5822311E-15  0.6181058E-02
   0.1920000E+00  0.6537978E-15  0.6285009E-02
   0.1960000E+00  0.1110446E-15  0.6387196E-02
   0.2000000E+00 -0.4990227E-15  0.6487580E-02
   0.2040000E+00 -0.5552092E-16  0.6586121E-02
   0.2080000E+00  0.2772484E-15  0.6682779E-02
   0.2120000E+00  0.1116924E-15  0.6777516E-02
   0.2160000E+00 -0.2596809E-15  0.6870291E-02
   0.2200000E+00  0.5746700E-16  0.6961065E-02
   0.2240000E+00  0.1504948E-15  0.7049796E-02
   0.2280000E+00 -0.5082433E-15  0.7136445E-02
   0.2320000E+00  0.4979861E-15  0.7220972E-02
   0.2360000E+00 -0.1026864E-15  0.7303335E-02
   0.2400000E+00  0.1154122E-15  0.7383493E-02
   0.2440000E+00 -0.6438968E-16  0.7461406E-02
   0.2480000E+00  0.5794182E-16  0.7537032E-02
   0.2520000E+00 -0.5073180E-16  0.7610330E-02
   0.2560000E+00 -0.5539168E-16  0.7681257E-02
   0.2600000E+00  0.5837121E-16  0.7749773E-02
   0.2640000E+00 -0.5946585E-16  0.7815834E-02
   0.2680000E+00  0.1040743E-15  0.7879399E-02
   0.2720000E+00  0.8047404E-16  0.7940425E-02
   0.2760000E+00  0.3301108E-15  0.7998869E-02
   0.2800000E+00  0.1068343E-15  0.8054688E-02
   0.2840000E+00  0.5537275E-16  0.8107838E-02
